08-18 00:23:20: Training starting...
08-18 00:23:22: New best reward 28.0 (-100.0%) at episode 0, saving model...
08-18 00:23:22: New best reward 37.0 (+32.1%) at episode 8, saving model...
08-18 00:23:22: New best reward 48.0 (+29.7%) at episode 10, saving model...
08-18 00:23:22: New best reward 67.0 (+39.6%) at episode 12, saving model...
08-18 00:23:22: New best reward 71.0 (+6.0%) at episode 46, saving model...
08-18 00:23:22: New best reward 74.0 (+4.2%) at episode 155, saving model...
08-18 00:23:22: New best reward 84.0 (+13.5%) at episode 162, saving model...
08-18 00:23:22: New best reward 92.0 (+9.5%) at episode 212, saving model...
08-18 00:23:23: New best reward 103.0 (+12.0%) at episode 303, saving model...
08-18 00:23:23: New best reward 109.0 (+5.8%) at episode 437, saving model...
08-18 00:23:44: New best reward 121.0 (+11.0%) at episode 4597, saving model...
08-18 00:23:50: New best reward 151.0 (+24.8%) at episode 5267, saving model...
08-18 00:23:50: New best reward 182.0 (+20.5%) at episode 5269, saving model...
08-18 00:23:52: New best reward 273.0 (+50.0%) at episode 5471, saving model...
08-18 00:23:53: New best reward 303.0 (+11.0%) at episode 5522, saving model...
08-18 00:23:54: New best reward 437.0 (+44.2%) at episode 5551, saving model...
08-18 00:23:54: New best reward 475.0 (+8.7%) at episode 5557, saving model...
08-18 00:23:54: New best reward 477.0 (+0.4%) at episode 5566, saving model...
08-18 00:24:34: New best reward 507.0 (+6.3%) at episode 10702, saving model...
08-18 00:24:37: New best reward 598.0 (+17.9%) at episode 10818, saving model...
08-18 00:24:37: New best reward 706.0 (+18.1%) at episode 10827, saving model...
08-18 00:24:43: New best reward 707.0 (+0.1%) at episode 11028, saving model...
08-18 00:24:44: New best reward 1048.0 (+48.2%) at episode 11065, saving model...
