08-18 00:28:52: Training starting...
08-18 00:28:53: New best reward -6.9 (-100.0%) at episode 0, saving model...
08-18 00:28:53: New best reward -6.3 (-8.7%) at episode 2, saving model...
08-18 00:28:53: New best reward -5.7 (-9.5%) at episode 8, saving model...
08-18 00:28:53: New best reward -3.9 (-31.6%) at episode 26, saving model...
08-18 00:28:55: New best reward -3.3 (-15.4%) at episode 462, saving model...
08-18 00:28:56: New best reward -2.7 (-18.2%) at episode 725, saving model...
08-18 00:29:01: New best reward 0.9 (-133.3%) at episode 1518, saving model...
08-18 00:29:13: New best reward 3.9 (+333.3%) at episode 3241, saving model...
08-18 00:29:50: New best reward 6.0 (+53.8%) at episode 10433, saving model...
08-18 00:30:17: New best reward 6.5 (+8.3%) at episode 15163, saving model...
08-18 00:30:43: New best reward 8.4 (+29.2%) at episode 17924, saving model...
08-18 00:31:30: New best reward 9.1 (+8.3%) at episode 22957, saving model...
08-18 00:32:00: New best reward 12.9 (+41.8%) at episode 26146, saving model...
